name:,com.function3d.smfunctiondemo,init_mem
 ,15:50:45,716.68
 ,15:50:48,717.17
 ,15:50:51,717.29
 ,15:50:54,718.3
 ,15:50:57,719.35
 ,15:51:00,719.46
 ,15:51:03,718.86
 ,15:51:06,719.09
 ,15:51:09,718.95
 ,15:51:12,719.65
 ,15:51:14,718.68
 ,15:51:17,718.94
 ,15:51:20,719.68
 ,15:51:23,720.65
 ,15:51:26,721.07
 ,15:51:29,721.82
 ,15:51:32,722.51
 ,15:51:35,723.21
 ,15:51:37,723.25
 ,15:51:40,722.5
 ,15:51:43,722.62
